ES0000000000000413CC,1010
ES0000000000000608CCPF,691
ES0000000000000617CCPF,792
ES0000000000000796CCPF,1153
ES0000000000001024CCPF,856
ES0000000000001236CCPF,837
ES0000000000001321CCPF,126
ES0000000000001407CCPF,673
ES0000000000001427CCPF,1023
ES0000000000001483CCPF,1154
ES0000000000001502CCPF,587
ES0000000000001715CCPF,384
ES0000000000001754CCPF,1045
ES0000000000001765CCPF,494
ES0000000000001810CCPF,551
ES0000000000001871CCPF,828
ES0000000000001872CCPF,916
ES0000000000001907CCPF,64
ES0000000000002025CCPF,782
ES0000000000002029CCPF,238
ES0000000000002047CCPF,514
ES0000000000002089CCPF,1099
ES0000000000002176CCPF,958
ES0000000000002221CCPF,165
ES0000000000002264CCPF,410
ES0000000000002330CCPF,715
ES0000000000002368CCPF,863
ES0000000000002369CCPF,751
ES0000000000002419CCPF,882
ES0000000000002487CCPF,274
ES0000000000002523CCPF,1040
ES0000000000002535CCPF,563
ES0000000000002607CCPF,480
ES0000000000002632CCPF,498
ES0000000000002728CCPF,246
ES0000000000002945CCPF,775
ES0000000000002960CCPF,232
ES0000000000003004CCPF,286
ES0000000000003144CCPF,983
ES0000000000003268CCPF,822
ES0000000000003289CCPF,193
ES0000000000003348CCPF,146
ES0000000000003370CCPF,1140
ES0000000000003409CCPF,1168
ES0000000000003430CCPF,62
ES0000000000003500CCPF,387
ES0000000000003517CCPF,808
ES0000000000003540CCPF,369
ES0000000000003582CCPF,789
ES0000000000003624CCPF,380
ES0000000000003656CCPF,615
ES0000000000003657CCPF,1074
ES0000000000003714CCPF,797
ES0000000000003741CCPF,554
ES0000000000003822CCPF,700
ES0000000000003889CCPF,851
ES0000000000003960CCPF,872
ES0000000000003981CCPF,882
ES0000000000004013CCPF,941
ES0000000000004135CCPF,228
ES0000000000004219CCPF,706
ES0000000000004231CCPF,696
ES0000000000004237CCPF,717
ES0000000000004297CCPF,860
ES0000000000004349CCPF,210
ES0000000000004408CCPF,386
ES0000000000004442CCPF,440
ES0000000000004533CCPF,287
ES0000000000004565CCPF,947
ES0000000000004566CCPF,348
ES0000000000004593CCPF,516
ES0000000000004639CCPF,409
ES0000000000004695CCPF,1155
ES0000000000004752CCPF,232
ES0000000000004774CCPF,228
ES0000000000004784CCPF,207
ES0000000000004866CCPF,524
ES0000000000004889CCPF,771
ES0000000000005100CCPF,451
ES0000000000005180CCPF,993
ES0000000000005189CCPF,984
ES0000000000005194CCPF,476
ES0000000000005203CCPF,255
ES0000000000005275CCPF,930
ES0000000000005408CCPF,1017
ES0000000000005433CCPF,826
ES0000000000005517CCPF,704
ES0000000000005585CCPF,96
ES0000000000005619CCPF,776
ES0000000000005700CCPF,816
ES0000000000005777CCPF,284
ES0000000000005815CCPF,554
ES0000000000005844CCPF,1000
ES0000000000005860CCPF,203
ES0000000000005994CCPF,99
ES0000000000005998CCPF,554
ES0000000000006008CCPF,341
ES0000000000006253CCPF,211
ES0000000000006300CCPF,404
ES0000000000006306CCPF,136
ES0000000000006341CCPF,139
ES0000000000006355CCPF,485
ES0000000000006410CCPF,52
ES0000000000006457CCPF,304
ES0000000000006516CCPF,762
ES0000000000006517CCPF,600
ES0000000000006595CCPF,341
ES0000000000006624CCPF,977
ES0000000000006641CCPF,683
ES0000000000006690CCPF,741
ES0000000000006751CCPF,135
ES0000000000006754CCPF,360
ES0000000000006813CCPF,596
ES0000000000006830CCPF,648
ES0000000000006909CC,850
ES0000000000006921CC,692
ES0022000006045346GJ1P,972
ES0022000008485886QT1P,919
