CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000000413CC;01/09/2022;1;0,762;R
ES0000000000000413CC;01/09/2022;2;0,656;R
ES0000000000000413CC;01/09/2022;3;0,159;R
ES0000000000000413CC;01/09/2022;4;0,087;R
ES0000000000000413CC;01/09/2022;5;0,079;R
ES0000000000000413CC;01/09/2022;6;0,075;R
ES0000000000000413CC;01/09/2022;7;0,093;R
ES0000000000000413CC;01/09/2022;8;0,087;R
ES0000000000000413CC;01/09/2022;9;0,078;R
ES0000000000000413CC;01/09/2022;10;0,132;R
ES0000000000000413CC;01/09/2022;11;0,1;R
ES0000000000000413CC;01/09/2022;12;0,176;R
ES0000000000000413CC;01/09/2022;13;0,148;R
ES0000000000000413CC;01/09/2022;14;0,091;R
ES0000000000000413CC;01/09/2022;15;0,088;R
ES0000000000000413CC;01/09/2022;16;0,711;R
ES0000000000000413CC;01/09/2022;17;0,106;R
ES0000000000000413CC;01/09/2022;18;0,133;R
ES0000000000000413CC;01/09/2022;19;0,106;R
ES0000000000000413CC;01/09/2022;20;0,141;R
ES0000000000000413CC;01/09/2022;21;0,164;R
ES0000000000000413CC;01/09/2022;22;0,187;R
ES0000000000000413CC;01/09/2022;23;0,272;R
ES0000000000000413CC;02/09/2022;0;0,291;R
ES0000000000000413CC;02/09/2022;1;0,183;R
ES0000000000000413CC;02/09/2022;2;0,117;R
ES0000000000000413CC;02/09/2022;3;0,079;R
ES0000000000000413CC;02/09/2022;4;0,119;R
ES0000000000000413CC;02/09/2022;5;0,075;R
ES0000000000000413CC;02/09/2022;6;0,096;R
ES0000000000000413CC;02/09/2022;7;0,329;R
ES0000000000000413CC;02/09/2022;8;0,08;R
ES0000000000000413CC;02/09/2022;9;0,064;R
ES0000000000000413CC;02/09/2022;10;0,152;R
ES0000000000000413CC;02/09/2022;11;0,166;R
ES0000000000000413CC;02/09/2022;12;0,133;R
ES0000000000000413CC;02/09/2022;13;0,086;R
ES0000000000000413CC;02/09/2022;14;0,079;R
ES0000000000000413CC;02/09/2022;15;0,422;R
ES0000000000000413CC;02/09/2022;16;0,31;R
ES0000000000000413CC;02/09/2022;17;1,208;R
ES0000000000000413CC;02/09/2022;18;0,315;R
ES0000000000000413CC;02/09/2022;19;0,135;R
ES0000000000000413CC;02/09/2022;20;0,183;R
ES0000000000000413CC;02/09/2022;21;0,114;R
ES0000000000000413CC;02/09/2022;22;0,264;R
ES0000000000000413CC;02/09/2022;23;0,192;R
ES0000000000000413CC;03/09/2022;0;0,094;R
ES0000000000000413CC;03/09/2022;1;0,13;R
ES0000000000000413CC;03/09/2022;2;0,09;R
ES0000000000000413CC;03/09/2022;3;0,104;R
ES0000000000000413CC;03/09/2022;4;0,091;R
ES0000000000000413CC;03/09/2022;5;0,082;R
ES0000000000000413CC;03/09/2022;6;0,069;R
ES0000000000000413CC;03/09/2022;7;0,12;R
ES0000000000000413CC;03/09/2022;8;0,096;R
ES0000000000000413CC;03/09/2022;9;0,039;R
ES0000000000000413CC;03/09/2022;10;0,177;R
ES0000000000000413CC;03/09/2022;11;0,121;R
ES0000000000000413CC;03/09/2022;12;0,654;R
ES0000000000000413CC;03/09/2022;13;0,122;R
ES0000000000000413CC;03/09/2022;14;0,061;R
ES0000000000000413CC;03/09/2022;15;0,061;R
ES0000000000000413CC;03/09/2022;16;0,096;R
ES0000000000000413CC;03/09/2022;17;0,09;R
ES0000000000000413CC;03/09/2022;18;0,302;R
ES0000000000000413CC;03/09/2022;19;0,14;R
ES0000000000000413CC;03/09/2022;20;0,076;R
ES0000000000000413CC;03/09/2022;21;0,091;R
ES0000000000000413CC;03/09/2022;22;0,062;R
ES0000000000000413CC;03/09/2022;23;0,213;R
ES0000000000000413CC;04/09/2022;0;0,202;R
ES0000000000000413CC;04/09/2022;1;0,162;R
ES0000000000000413CC;04/09/2022;2;0,167;R
ES0000000000000413CC;04/09/2022;3;0,159;R
ES0000000000000413CC;04/09/2022;4;0,065;R
ES0000000000000413CC;04/09/2022;5;0,077;R
ES0000000000000413CC;04/09/2022;6;0,047;R
ES0000000000000413CC;04/09/2022;7;0,065;R
ES0000000000000413CC;04/09/2022;8;0,062;R
ES0000000000000413CC;04/09/2022;9;0,051;R
ES0000000000000413CC;04/09/2022;10;1,14;R
ES0000000000000413CC;04/09/2022;11;0,726;R
ES0000000000000413CC;04/09/2022;12;0,725;R
ES0000000000000413CC;04/09/2022;13;0,774;R
ES0000000000000413CC;04/09/2022;14;0,865;R
ES0000000000000413CC;04/09/2022;15;0,854;R
ES0000000000000413CC;04/09/2022;16;0,217;R
ES0000000000000413CC;04/09/2022;17;0,961;R
ES0000000000000413CC;04/09/2022;18;0,693;R
ES0000000000000413CC;04/09/2022;19;0,19;R
ES0000000000000413CC;04/09/2022;20;0,128;R
ES0000000000000413CC;04/09/2022;21;0,105;R
ES0000000000000413CC;04/09/2022;22;0,137;R
ES0000000000000413CC;04/09/2022;23;0,141;R
ES0000000000000413CC;05/09/2022;0;0,137;R
ES0000000000000413CC;05/09/2022;1;0,067;R
ES0000000000000413CC;05/09/2022;2;0,059;R
ES0000000000000413CC;05/09/2022;3;0,055;R
ES0000000000000413CC;05/09/2022;4;0,063;R
ES0000000000000413CC;05/09/2022;5;0,067;R
ES0000000000000413CC;05/09/2022;6;0,057;R
ES0000000000000413CC;05/09/2022;7;0,044;R
ES0000000000000413CC;05/09/2022;8;0,075;R
ES0000000000000413CC;05/09/2022;9;0,896;R
ES0000000000000413CC;05/09/2022;10;0,144;R
ES0000000000000413CC;05/09/2022;11;0,06;R
ES0000000000000413CC;05/09/2022;12;0,054;R
ES0000000000000413CC;05/09/2022;13;0,417;R
ES0000000000000413CC;05/09/2022;14;0,115;R
ES0000000000000413CC;05/09/2022;15;0,111;R
ES0000000000000413CC;05/09/2022;16;0,105;R
ES0000000000000413CC;05/09/2022;17;0,091;R
ES0000000000000413CC;05/09/2022;18;0,263;R
ES0000000000000413CC;05/09/2022;19;0,114;R
