CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000003624CCPF;01/09/2022;1;0,377;R
ES0000000000003624CCPF;01/09/2022;2;0,217;R
ES0000000000003624CCPF;01/09/2022;3;0,198;R
ES0000000000003624CCPF;01/09/2022;4;0,164;R
ES0000000000003624CCPF;01/09/2022;5;0,164;R
ES0000000000003624CCPF;01/09/2022;6;0,162;R
ES0000000000003624CCPF;01/09/2022;7;0,145;R
ES0000000000003624CCPF;01/09/2022;8;0,144;R
ES0000000000003624CCPF;01/09/2022;9;0,192;R
ES0000000000003624CCPF;01/09/2022;10;1,178;R
ES0000000000003624CCPF;01/09/2022;11;0,439;R
ES0000000000003624CCPF;01/09/2022;12;0,366;R
ES0000000000003624CCPF;01/09/2022;13;0,262;R
ES0000000000003624CCPF;01/09/2022;14;0,203;R
ES0000000000003624CCPF;01/09/2022;15;0,493;R
ES0000000000003624CCPF;01/09/2022;16;0,508;R
ES0000000000003624CCPF;01/09/2022;17;1,208;R
ES0000000000003624CCPF;01/09/2022;18;1,403;R
ES0000000000003624CCPF;01/09/2022;19;0,841;R
ES0000000000003624CCPF;01/09/2022;20;0,85;R
ES0000000000003624CCPF;01/09/2022;21;0,986;R
ES0000000000003624CCPF;01/09/2022;22;0,334;R
ES0000000000003624CCPF;01/09/2022;23;0,191;R
ES0000000000003624CCPF;02/09/2022;0;0,238;R
ES0000000000003624CCPF;02/09/2022;1;0,208;R
ES0000000000003624CCPF;02/09/2022;2;0,202;R
ES0000000000003624CCPF;02/09/2022;3;0,18;R
ES0000000000003624CCPF;02/09/2022;4;0,169;R
ES0000000000003624CCPF;02/09/2022;5;0,116;R
ES0000000000003624CCPF;02/09/2022;6;0,131;R
ES0000000000003624CCPF;02/09/2022;7;0,141;R
ES0000000000003624CCPF;02/09/2022;8;0,113;R
ES0000000000003624CCPF;02/09/2022;9;0,11;R
ES0000000000003624CCPF;02/09/2022;10;0,363;R
ES0000000000003624CCPF;02/09/2022;11;0,416;R
ES0000000000003624CCPF;02/09/2022;12;0,354;R
ES0000000000003624CCPF;02/09/2022;13;0,458;R
ES0000000000003624CCPF;02/09/2022;14;1,311;R
ES0000000000003624CCPF;02/09/2022;15;0,98;R
ES0000000000003624CCPF;02/09/2022;16;0,86;R
ES0000000000003624CCPF;02/09/2022;17;0,637;R
ES0000000000003624CCPF;02/09/2022;18;0,728;R
ES0000000000003624CCPF;02/09/2022;19;0,619;R
ES0000000000003624CCPF;02/09/2022;20;0,823;R
ES0000000000003624CCPF;02/09/2022;21;0,175;R
ES0000000000003624CCPF;02/09/2022;22;0,114;R
ES0000000000003624CCPF;02/09/2022;23;0,23;R
ES0000000000003624CCPF;03/09/2022;0;0,45;R
ES0000000000003624CCPF;03/09/2022;1;0,292;R
ES0000000000003624CCPF;03/09/2022;2;0,235;R
ES0000000000003624CCPF;03/09/2022;3;0,176;R
ES0000000000003624CCPF;03/09/2022;4;0,16;R
ES0000000000003624CCPF;03/09/2022;5;0,112;R
ES0000000000003624CCPF;03/09/2022;6;0,157;R
ES0000000000003624CCPF;03/09/2022;7;0,099;R
ES0000000000003624CCPF;03/09/2022;8;0,13;R
ES0000000000003624CCPF;03/09/2022;9;0,137;R
ES0000000000003624CCPF;03/09/2022;10;0,172;R
ES0000000000003624CCPF;03/09/2022;11;0,308;R
ES0000000000003624CCPF;03/09/2022;12;0,299;R
ES0000000000003624CCPF;03/09/2022;13;1,238;R
